,name,price,total sales/mil,release date,developer,genre,rating,user rating,age,platforms,number of players
0,Auto Modellista,,,"Sep 30, 2003",Capcom,Driving/Racing/Arcade,62.0,5.8,E,GameCube,1-2
1,X2: Wolverine's Revenge,,,"Apr 14, 2003",GenePool,Action Adventure/Sci-Fi,62.0,6.4,T,GameCube,1 Player
2,Project Nomads,,,"Nov  1, 2002",Radon Labs,Strategy/Real-Time/Fantasy/General/Fantasy,62.0,8.4,T,PC,1-8
3,Rock Manager,,,"Jun 30, 2002",DreamCatcher Interactive,Strategy/Tycoon/Management/Tycoon/Business / Tycoon,62.0,7.1,M,PC,1 Player
4,Wave Rally,,,"Nov 26, 2001",Opus,Driving/Racing/Snow / Water,62.0,4.5,E,PS2,1-2
5,High Heat Major League Baseball 2002,,,"Sep 16, 2001",Mobius Entertainment,Sports/Traditional/Baseball/Sim,62.0,-,E,Game Boy Advance,-
6,Hogs of War,,,"Sep  5, 2000",Infogrames Sheffield,Strategy/General,62.0,8.5,T,PlayStation,-
7,Tork: Prehistoric Punk,,,"Jan 12, 2005",Tiwak,Action/Platformer/3D,62.0,6.2,E,Xbox,1 Player
8,Super Neptunia RPG,46.99,,"Jun 25, 2019","Compile Heart, Artisan Studios",Role-Playing/Action RPG,62.0,5.7,T,NS,No Online Multiplayer
9,Tiny Troopers: Joint Ops,21.99,,"Feb 26, 2016","Kukouri Mobile Entertainment, Epiphany Games",Action/General/Shooter/Shoot-'Em-Up/Top-Down,62.0,5.1,T,XOne,No Online Multiplayer
10,LEGO City Undercover: The Chase Begins,24.97,2.02,"Apr 21, 2013",Traveller's Tales,Action Adventure/Fantasy/General/Fantasy,62.0,6.7,E10+,3DS,-
11,Absolver,36.0,,"Jan  7, 2019",Sloclap,Role-Playing/Action RPG,62.0,7.1,T,XOne,Up to 6
12,Armageddon Riders,None,,"May 30, 2011",Targem Games,Driving/Racing/Demolition Derby/Arcade/Demolition Derby/Automobile,62.0,6.3,M,PS3,-
13,DreamWorks Shrek Forever After,None,,"May 18, 2010",Xpec,Action/Action Adventure/General/General,62.0,4.4,E10+,X360,No Online Multiplayer
14,Knights of Pen & Paper +1 Edition,51.0,0.34,"Jun 18, 2013",Behold Studios,Role-Playing/General/General,62.0,5.9,-,PC,No Online Multiplayer
15,PixelJunk Racers,44.08,,"Sep 13, 2007",Q-Games,Driving/Racing/Arcade/Arcade/Automobile,62.0,6.1,E,PS3,1-6
16,Metal Gear Survive,5.74,0.08,"Feb 20, 2018",Konami,Action Adventure/General/Survival,62.0,2.0,M,XOne,Up to 4
17,DreamWorks Madagascar: Escape 2 Africa,None,,"Nov  4, 2008",Toys for Bob,Action/Action Adventure/General/General,62.0,7.8,E10+,X360,1-4
18,Kingdom Under Fire II,10.81,,"Nov 18, 2019","Phantagram, Blueside",Strategy/Real-Time/Fantasy/General/Fantasy,62.0,5.6,-,PC,Massively Multiplayer
19,Warparty,None,,"Mar 28, 2019",Warcave,Strategy/Real-Time/General/Command,62.0,6.7,-,PC,Online Multiplayer
20,TurtlePop: Journey to Freedom,53.75,,"Mar  9, 2018",Zengami,Puzzle/Action,62.0,-,E,NS,No Online Multiplayer
21,Etherium,None,,"Mar 25, 2015",Tindalos Interactive,Strategy/Real-Time/Sci-Fi/General,62.0,6.3,-,PC,-
22,Pineapple Smash Crew,None,,"Feb  2, 2012",RichMakeGame,Action/General/Shooter/Shoot-'Em-Up/Top-Down,62.0,7.5,-,PC,-
23,Rainbow Islands: Towering Adventure!,90.82,,"Oct 28, 2009",Taito Corporation,Action/General/General,62.0,-,E,X360,1-2
24,WRC 4: FIA World Rally Championship,30.96,,"Oct 25, 2013",Milestone S.r.l,Driving/Racing/Rally / Offroad,62.0,6.2,-,X360,-
25,Gabrielle's Ghostly Groove 3D,None,0.11,"Oct  4, 2011",Santa Entertainment,Action/Miscellaneous/Adventure/General/Rhythm/Music/Music,62.0,7.4,E,3DS,-
