,name,price,total sales/mil,release date,developer,genre,rating,user rating,age,platforms,number of players
0,Star Trek: Conquest,20.47,0.12,"Nov 20, 2007",4J Studios,Strategy/Turn-Based/Sci-Fi/Sci-Fi/General,49.0,5.1,E,Wii,1 Player
1,Necromunda: Hired Gun,42.44,,"Jun  1, 2021",Focus Home Interactive,Strategy/Turn-Based/Tactics,49.0,4.3,M,PS4,No Online Multiplayer
2,Nickelodeon Kart Racers,24.84,0.09,"Oct 23, 2018","Bamtang, GameMill Entertainment",Racing/Arcade/Automobile,49.0,6.2,E,XOne,No Online Multiplayer
3,Spitfire Heroes: Tales of the Royal Air Force,None,0.05,"Mar  5, 2008",Big John Games,Action/Flight/Flight,49.0,-,E10+,DS,4  Online
4,Double Dragon IV,37.94,,"Jan 30, 2017",Arc System Works,Action/Beat-'Em-Up/2D,49.0,6.2,E10+,PS4,No Online Multiplayer
5,MagNets: Fully Charged,51.0,,"Mar 11, 2016",Total Monkery,Action/General,49.0,4.1,E10+,XOne,-
6,DreamWorks Shrek-N-Roll,None,,"Nov 14, 2007",Backbone Entertainment,Miscellaneous/Puzzle/Puzzle/General/General,49.0,7.0,E,X360,1-2
7,Damage Inc.: Pacific Squadron WWII,27.22,0.07,"Aug 28, 2012",Mad Catz,WWII/Action/Simulation/Flight/Flight/WWII/Combat,49.0,5.5,T,X360,Up to 8
8,Dollar Dash,None,,"Mar  6, 2013",Candygun Games,Action Adventure/Modern/General/Modern,49.0,4.5,E10+,X360,-
9,Zombie Wranglers,20.92,,"May  6, 2009",Frozen Codebase,Action/Shooter/Shooter/Third-Person/Fantasy/Fantasy/Arcade,49.0,7.0,E10+,X360,4  Online
10,Get On Da Mic,,,"Oct  5, 2004",Artificial Mind and Movement,Miscellaneous/Music Maker,49.0,6.3,T,PS2,1-4
11,Bust-A-Move Universe,None,0.31,"Mar 27, 2011",Arika,Puzzle/Miscellaneous/Puzzle/General/Puzzle/Matching/General,49.0,4.8,E,3DS,-
12,Aliens vs. Predator: Requiem,16.03,,"Nov 13, 2007",Rebellion,Action Adventure/Sci-Fi/Sci-Fi/General,49.0,5.9,T,PSP,2  Online
13,Moto Racer 4,22.65,0.01,"Jan 24, 2017","Artefacts Studio, PQube",Racing/Arcade/Other,49.0,4.5,E,PS4,Up to 10
14,Cannon Fodder 3,None,0.0,"Feb  9, 2012",,Strategy/Real-Time/Military/General/Military,49.0,5.3,-,PC,1 Player
15,Domino Master,99.41,,"Sep 17, 2008","Tik Games, LLC, TikGames",Miscellaneous/Board Games/Board Games/Board / Card Game,49.0,-,E,X360,4  Online
16,Mega Brain Boost,None,0.01,"Jan 22, 2008",Interchannel-Holon,Miscellaneous/Edutainment/Compilation,48.0,-,E,DS,1-2
17,Demon Skin,None,,"Apr 13, 2021",Ludus future,Role-Playing/Adventure/General/Action RPG,48.0,7.2,-,PC,No Online Multiplayer
18,Carnival Games,15.18,2.04,"Jul  8, 2008",Cat Daddy Games,Action/Miscellaneous/General/Party/Party / Minigame,48.0,3.3,E,DS,1-4
19,Tortuga - Two Treasures,None,,"Mar 12, 2007","Ascaron Entertainment GmbH, Ascaron Entertainment",Action Adventure/Fantasy/General,48.0,2.7,T,PC,1 Player
20,Disney Bolt,0.01,,"Nov 18, 2008",Avalanche Software,Adventure/General/General,48.0,6.3,E,DS,2  Online
21,Homefront: The Revolution,11.23,0.5,"May 17, 2016",Deep Silver Dambuster Studios,Modern/Action/Shooter/First-Person/Arcade,48.0,4.2,M,PS4,Up to 4
22,Top Gun,49.0,0.04,"May  3, 2006",InterActive Vision Games,Simulation/Flight/Modern Jet/Modern Jet/Combat,48.0,-,E10+,DS,1-4
23,Frank Herbert's Dune,,,"Dec 14, 2001",WideScreen Games,Action Adventure/Sci-Fi/Sci-Fi/General,48.0,5.0,T,PC,1 Player
24,Ephemeral Fantasia,,,"Jul  9, 2001",KCEJ,Role-Playing/Console-style RPG,48.0,7.2,T,PS2,1 Player
25,Mighty No. 9,13.69,0.05,"Jun 21, 2016",Inti Creates,Platformer/2D/Action/Platformer/2D,48.0,4.4,E10+,WiiU,-
26,Dragon Ball Z: Sagas,,,"Mar 22, 2005",Avalanche Software,Action/Beat-'Em-Up,48.0,6.8,T,GameCube,1-2
27,Astonishia Story,18.18,0.03,"Jun  6, 2006",Sonnori,Role-Playing/Console-style RPG/Console-style RPG/Japanese-Style,48.0,5.6,E10+,PSP,No Online Multiplayer
28,Popeye: Rush for Spinach,,,"Apr 24, 2005",Magic Pockets,Action/Platformer/2D,48.0,4.7,E,Game Boy Advance,1-4
29,Terminator Salvation,14.32,0.35,"May 19, 2009",GRIN,Action/General/General/Shooter/Third-Person/Arcade,48.0,4.9,T,X360,No Online Multiplayer
30,Malice,,,"Jun  2, 2004",Argonaut Games,Action/Platformer/3D,48.0,7.0,T,Xbox,1 Player
31,Murakumo: Renegade Mech Pursuit,,,"Mar  5, 2003",From Software,Action/Shooter/Rail,48.0,7.5,T,Xbox,1 Player
32,Lux-Pain,48.35,0.05,"Mar 27, 2009",Killaware,Adventure/General/General/Visual Novel,48.0,6.2,T,DS,No Online Multiplayer
33,CSI: Crime Scene Investigation: Hard Evidence,7.83,,"Sep 26, 2007",Telltale Games,Adventure/General/General/Point-and-Click,48.0,5.6,M,X360,No Online Multiplayer
34,Ford Bold Moves Street Racing,25.48,,"Sep 25, 2006",Razorworks,Driving/Racing/Simulation/GT / Street/GT / Street/Automobile,48.0,4.4,E,PC,2  Online
35,Blood Alloy: Reborn,None,,"Mar  2, 2016",Suppressive Fire Games,Action/General/Platformer/2D,48.0,-,-,PC,No Online Multiplayer
36,Lucius II,None,,"Feb 13, 2015",Shiver Games,Adventure/General,48.0,3.0,-,PC,No Online Multiplayer
37,LocoCycle,None,,"Nov 22, 2013",Twisted Pixel Games,Driving/Racing/General/General/Arcade/Automobile,48.0,4.1,T,XOne,-
38,Morphies Law,None,,"Aug 20, 2018",Cosmoscope GmbH,Action/Shooter/Third-Person/Arcade,48.0,5.6,T,NS,Up to 8
39,Battle Assault 3 featuring Gundam Seed,,,"Dec  7, 2004",Natsume,Action/Beat-'Em-Up,48.0,7.9,T,PS2,1-2
40,Zathura,,,"Nov  2, 2005",High Voltage Software,Action Adventure/Sci-Fi,48.0,5.4,E10+,Xbox,1 Player
41,Those Who Remain,None,,"May 28, 2020",Camel 101,Adventure/3D/First-Person,48.0,5.1,M,PC,No Online Multiplayer
42,ChoroQ,,,"Nov 17, 2004",Barnhouse Effect,Driving/Racing/Other,48.0,8.1,E,PS2,1-2
43,James Cameron's Dark Angel,,,"Nov 18, 2002",Radical Entertainment,Action/Beat-'Em-Up,48.0,6.5,T,PS2,1 Player
44,Valhalla Knights 3,12.55,0.18,"Oct 15, 2013",K2,Role-Playing/General/General/Action RPG,48.0,6.9,M,PSV,-
45,Vietcong: Purple Haze,,,"Sep 15, 2004",Coyote Developments,Action/Shooter/First-Person/Historic,48.0,5.3,M,PS2,1 Player
46,Le Tour de France 2013 - 100th Edition,None,,"Jul  2, 2013",Cyanide,Sports/Alternative/Individual/Biking/Biking,48.0,5.3,E,PS3,No Online Multiplayer
47,WinBack 2: Project Poseidon,23.28,0.01,"Apr 25, 2006",Cavia Inc.,Action/Shooter/Third-Person/Modern,48.0,-,T,PS2,1-4
48,Sherlock Holmes and the Mystery of Osborne House,14.12,0.23,"Jan  4, 2011",Frogwares,Adventure/3D/Point-and-Click/First-Person/Modern/Modern,48.0,-,E10+,DS,No Online Multiplayer
49,Astro Boy: The Video Game,14.14,0.11,"Oct 20, 2009",High Voltage Software,Action/General/Platformer/2D,48.0,3.4,E10+,Wii,No Online Multiplayer
50,Aliens: Colonial Marines,6.95,0.78,"Feb 12, 2013",Gearbox Software,Action/Shooter/Shooter/First-Person/Sci-Fi/Sci-Fi/Arcade,48.0,3.9,M,X360,4  Online
51,FlingSmash,11.42,0.47,"Nov  7, 2010",Artoon,Action/General/General,48.0,7.6,E,Wii,-
52,DICE: DNA Integrated Cybernetic Enterprises,,0.03,"Sep 22, 2005",Natsume,Action/Shooter/Third-Person/Sci-Fi,48.0,-,E10+,PS2,1-2
